Length,Width,Draught,Gross Tonnage,Max Speed,Passengers
59.6,10.68,3,1206,13,52
65.96,11.5,3.5,1593,14,72
105.9,16,5.18,3849,13,94
142.1,18,4.8,10944,16,264
180.45,18.3,7.25,24318,27,927
180.45,25.5,7.25,24427,27,830
181,25.46,5.95,30277,18,670
195.8,26.5,6.6,36009,20.3,540
198.2,26,6.4,32346,22.3,462
198.2,26,6.4,32346,22.3,450
219.2,30.83,7.71,55575,22.3,1258
224.02,31,7.2,55254,23.5,809
227.28,28.79,6.3,47800,20,930
228.3,28.79,6.3,47800,20,930
238,32.2,7.6,66172,21.5,1258
250,32.2,7.6,68870,23,1070
251.89,35,7.3,69203,21.8,2050
252,32.2,7.3,69203,22,2100
253,32.2,7.3,71300,23,2686
255.33,32.2,7.3,71304,21,2686
270,33.6,8.4,76152,24,1950
274.9,28.8,6.8,65542,20.8,1554
285,32.2,8,86273,22,2104
288.59,36,8.5,116000,24,3592
288.63,36,8.5,113500,21.7,3114
289.58,35.5,8.3,113216,23.2,3780
289.8,35.5,8.2,110320,22,4914
290,35.5,8.2,114417,22,4890
290.2,35.5,8.2,113300,22,4890
290.2,35.5,8.3,110239,22.5,2974
292,32.2,8.5,92250,24,4080
292.5,32.2,8,85619,24,2680
293.14,32.2,7.8,92627,22.5,2550
293.2,39.8,8.5,90090,25,2500
293.8,32.3,7.85,92409,23,3013
293.98,32.25,7.9,90901,23.7,2547
294,32.3,8,90940,24,2170
294,32.2,8.323,90940,24,2038
294,32.2,8,92822,23.4,2581
294,32.25,8.096,92720,23.6,2826
294.14,37.88,8.6,93558,24,4080
298.62,36,8.45,108977,24.3,3100
300,37,8.25,124500,22.5,3286
305.4,37.2,8.4,128052,22.5,6277
305.471,37.2,8.4,128052,22.5,3675
305.6,37.2,8.2,128250,22.5,6000
305.7,37.2,8.3,113019,22.4,4947
310.9,38.6,8.6,137276,22.5,3114
311,38.6,8.6,138279,23,3807
311.12,38.6,8.6,138279,23,3114
315,48,8.3,122210,24,3184
317.141,36.8,8.3,121878,24,2852
317.192,48,8.3,121878,25,3129
319,37.4,8.3,125366,24,2850
322,37,8.2,133596,22.6,6448
323,41,8.55,153516,23,6592
323,37.2,8.5,133500,23,3936
323.4,37,8.2,133596,22.6,6538
329.45,40.64,8.6,155873,22,4100
330,38.4,8.4,144216,23,5600
330,38.4,8.3,142714,22,4200
330,44,8.3,143730,21.9,3647
330,38.4,8.55,144216,22,3560
333.33,37.9,8.65,137936,23.3,3959
333.46,41.4,8.722,167725,25,5583
338.92,38.6,8.5,155889,21.6,4960
338.95,39.03,8.8,155889,23,4370
348,48.9,8.5,168666,22,4905
360,60.5,9.3,225282,22.6,6296
362.1,47.45,9.322,228081,22,6680
362.12,47.42,9.322,227700,25,6780
